Dataset,kNN,NB,AMR,HT,HAT,EFDT,SGT,MT,OBA,OBOA,ARF,AMF,MLHT,MLHTPS,iSOUPT,MLHAT
Flags,0.6575,0.684,0.5956,0.7238,0.7069,0.7238,0.4827,0.6434,0.6095,0.5962,0.7098,0.6597,0.6494,0.6567,0.5956,0.6279
Chd,0.678,0.6684,0.7067,0.6888,0.6915,0.6888,0.5925,0.6807,0.7055,0.7076,0.6777,0.6894,0.6415,0.6843,0.707,0.7035
WaterQuality,0.6955,0.5759,0.6742,0.6681,0.6669,0.6744,0.6011,0.6596,0.6764,0.6789,0.7042,0.7027,0.6003,0.6536,0.6704,0.677
Emotions,0.7054,0.7297,0.5717,0.7496,0.7527,0.7457,0.5576,0.6821,0.584,0.5801,0.7639,0.7219,0.5835,0.7312,0.5717,0.6238
VirusGO,0.8762,0.7377,0.8658,0.7965,0.8457,0.7957,0.2304,0.8367,0.8633,0.8665,0.8093,0.9366,0.7546,0.79,0.8633,0.8569
Birds,0.9292,0.9414,0.8945,0.9416,0.9414,0.9415,0.6639,0.9396,0.9197,0.9061,0.9441,0.9362,0.9418,0.9418,0.8939,0.9146
Yeast,0.7683,0.7026,0.7664,0.7775,0.7771,0.7769,0.7161,0.7632,0.766,0.7663,0.7788,0.7649,0.7254,0.7545,0.7702,0.7756
Scene,0.9279,0.7736,0.965,0.837,0.8587,0.9049,0.7082,0.8967,0.9641,0.9638,0.9342,0.9451,0.7156,0.8441,0.9555,0.9756
Gnegative,0.9277,0.8852,0.9818,0.9116,0.9116,0.9168,0.5677,0.9329,0.9815,0.9812,0.9384,0.9656,0.8399,0.9061,0.9821,0.985
Plant,0.8916,0.8182,0.9745,0.9049,0.9051,0.9076,0.6958,0.9253,0.9719,0.9712,0.9208,0.9455,0.8714,0.9054,0.9745,0.9712
Cal500,0.837,0.7267,0.7961,0.8565,0.8549,0.8565,0.5763,0.855,0.8027,0.7989,0.8538,0.8523,0.7817,0.8565,0.7961,0.8256
Human,0.9333,0.7605,0.9755,0.9134,0.9225,0.9159,0.8258,0.923,0.9751,0.9754,0.953,0.9398,0.8868,0.8768,0.9719,0.9742
Genbase,0.9148,0.9486,0.9487,0.9487,0.9486,0.9487,0.5352,0.9487,0.9489,0.9487,0.9488,0.9487,0.9307,0.9487,0.9487,0.9409
Yelp,0.7871,0.7145,0.8417,0.7489,0.7776,0.8082,0.6762,0.7067,0.862,0.8634,0.8694,0.8027,0.7046,0.7099,0.8547,0.8926
