Dataset,MLHAT,KNN,NB,AMR,HT,HAT,EFDT,SGT,MT,ARF,AMF,ABALR,ABOLR,MLBELS,MLHT,MLHTPS,iSOUPT
Flags,0.5589296594638897,0.6186220780255798,0.6346325715710798,0.5539981456621319,0.6959216584083353,0.6765350724231629,0.6959216584083353,0.6338014939597013,0.6128056570619199,0.6937318621045861,0.6169371475283497,0.5612260200885579,0.5566837904893662,0.4497281960155759,0.6145819493971584,0.6278834502428436,0.5539981456621319
WaterQuality,0.5253171455999719,0.5241474305999916,0.5251110043839382,0.5277170506323814,0.3940888496530264,0.406191112544634,0.4302785470189318,0.259459294453388,0.32953651653353583,0.5025941240713487,0.48035956039121164,0.5244504779542265,0.5280815690195959,0.42835337752744573,0.23902179068228824,0.3614238233815843,0.5215349716146203
Emotions,0.4207610022285785,0.4448324235387282,0.6013163222953295,0.291280419433513,0.5441911665249151,0.5424083302346505,0.49155558367507557,0.3180309372431189,0.019264336571752735,0.4613325254458289,0.33840981904033773,0.2728384397825724,0.28294009428290146,0.513650281348274,0.3330724546211929,0.47679740337290566,0.291280419433513
VirusGO,0.6960085629359953,0.7022480778070013,0.09481155016211791,0.5614975323236733,0.1963870356224725,0.4391048134758513,0.1955779741337994,0.35452476439814284,0.427853742575224,0.3728137746651027,0.8411156809928553,0.5388744726131539,0.5613853785952451,0.5197256168859516,0.33742743240515843,0.16402457607554696,0.546934425527557
Birds,0.43378229014182434,0.06171742060468156,0.0,0.08911843491106015,0.0,0.0,0.038208424425325765,0.026277542746135293,0.02273937209506273,0.03945501782058769,0.041005330151539815,0.07223999390032367,0.06981878872075706,0.13424109475649748,0.0,0.0,0.08894835642993748
Yeast,0.5758193351564056,0.561611358698169,0.5326125072291054,0.4638239140046404,0.5817094151010254,0.5746754972670344,0.5695019478404948,0.42214315156406224,0.45372278393206145,0.5480799093045958,0.46123966166251995,0.4629093285186585,0.4653251786405046,0.5913137370262164,0.5187643269230384,0.550738957541735,0.4758397447754026
Scene,0.9496477411013382,0.8105145865197827,0.6112522218174825,0.9158347524611994,0.41925736378599987,0.5326311971421616,0.6460052775595111,0.1926100794176996,0.5377536612143017,0.8027377457318416,0.8117142134593303,0.9125268341013124,0.9121130361272962,0.7859886357111829,0.18449686077276337,0.62150269674234,0.8762738044840132
Gnegative,0.9463856964248981,0.7239226875622997,0.6818153736128456,0.9478020954907074,0.6231253225608784,0.6317349925339021,0.6213242078453813,0.20518476499241883,0.6780273951625408,0.7278579655662747,0.8653874161548285,0.946851517096543,0.9456602791536661,0.6961992429393837,0.3918606112540304,0.6283347452475538,0.9499532575997649
Plant,0.7897040637502684,0.28443629125386194,0.31681035204768804,0.8707554674351576,0.20800497329236042,0.2175060734911121,0.28522154599664407,0.06386266585305209,0.3471440876142573,0.41336983829859575,0.6071600693129734,0.8510645835821391,0.8505424733894685,0.41234718856955366,0.288441101777413,0.14998061837634685,0.8707554674351576
Human,0.8935081740945316,0.5881223909574054,0.3483086499636324,0.8957682793566952,0.3577155171241442,0.47766573365001674,0.4099899672088207,0.09494256668222575,0.20936819310678684,0.6715193123400327,0.4666512975272906,0.8903207729655933,0.894017234696197,0.6782846302482212,0.29485350509356445,0.23448724584851843,0.8622065391259414
Yelp,0.8487358845156335,0.6307935313478746,0.3726038815548666,0.7051608374399232,0.5517112844334259,0.6165909670836163,0.6500479176158158,0.3877559253302483,0.4528189510880777,0.7583097932952328,0.616237758597254,0.7413074468683456,0.743210389032289,0.6659423046030295,0.4380629628776167,0.5100917132709175,0.7229690565728668
Medical,0.5594259746852117,0.41942365666685,0.002035935075113768,0.19908483491761936,0.3748321692161385,0.3953222465334346,0.524677804304442,0.12923049489717875,0.19560121024136348,0.13482479846294793,0.4526505681160208,0.12957211342897496,0.12124475885876623,0.666765479195093,0.2305246227154183,0.002035935075113768,0.2166640206489348
Eukaryote,0.9154107473140994,0.7259246947889675,0.3167622204122622,0.9034755747071361,0.5093631638157308,0.6818950380068317,0.6168503191358634,0.038376096505012114,0.4030631559519537,0.7862025656730743,0.5794994957683188,0.9115894958562828,0.9114399489813669,0.7896738696657277,0.25950156881578246,0.2070306013528988,0.881596967524678
Slashdot,0.39025409404195277,0.14920734592032536,0.0,0.017893178847838052,0.05966496497606384,0.10781969508942915,0.1588968732216293,0.04895048760097376,0.007060876501515554,0.08491467847021553,0.17464315183579604,0.007367952314475404,0.005613546438073991,0.42082201126826413,0.14999252361594254,0.0055265911665692,0.044733132976968785
Enron,0.42094733700423775,0.3395328742100694,0.3997528926736157,0.4817248492311388,0.4195671202909142,0.4247663629385142,0.42403192165203085,0.15557887812947374,0.30378153535109287,0.4250961206037192,0.4190502809150142,0.4879968994257466,0.4903275642860385,0.4938970608940395,0.31026275001628256,0.2731118669091311,0.47630793496715534
