Dataset,MLHAT,KNN,NB,AMR,HT,HAT,EFDT,SGT,MT,ARF,AMF,ABALR,ABOLR,MLBELS,MLHT,MLHTPS,iSOUPT
Flags,0.5903733150605743,0.6469608424146462,0.7232173168565234,0.6020287003646858,0.7239500840672368,0.6946531090960296,0.7239500840672368,0.4827028701317121,0.6577057167937435,0.7062655938381337,0.6546769018151517,0.6180109774309327,0.6072590014165062,0.7027696247164114,0.6570261445239689,0.6707209703190118,0.6020287003646858
WaterQuality,0.5683220094423644,0.5840013015544965,0.4569407904319691,0.5648144169991726,0.5685835855439172,0.5616749451025307,0.5743855007985879,0.46363788997443944,0.544154527668941,0.6164070669015376,0.6316041441296177,0.568572671239898,0.5716479117348665,0.506217355625418,0.3810189814725189,0.552812752624842,0.5583316943407362
Emotions,0.4493662493732324,0.5101457295490981,0.5525218042792275,0.30296932618282957,0.5936233218569859,0.5930729177368543,0.5455674646400693,0.35633314679237627,0.026042394828069478,0.5271018571508577,0.4230251525863924,0.29973335990350186,0.3054993357986473,0.5673048794234525,0.34094404750769036,0.497612010095387,0.30296932618282957
VirusGO,0.6862136196720522,0.6959609779470484,0.10606037814745399,0.599326229908584,0.21487424398206695,0.4593666621092337,0.2140651824933938,0.2304208743427783,0.45053963314023815,0.4082229749960661,0.8552769105913822,0.5750826244054963,0.5967872602358714,0.7448609387825107,0.381711889916474,0.18332084592381453,0.5847631231124673
Birds,0.5858966524583482,0.07381362452109771,0.0,0.09507269545477665,0.0,0.0,0.05694038220485985,0.01462301268036558,0.03320467706568324,0.05717746807019931,0.05693308754761513,0.08784593011636965,0.0776479786532074,0.19932272521782773,0.0,0.0,0.09487724958684113
Yeast,0.6473993379046852,0.6349594160405618,0.5339744075859145,0.7435281030559151,0.6777626831842902,0.6770861547250298,0.6857867965430446,0.6413969274617914,0.7404121163703244,0.7029694869733703,0.7395582402163411,0.743459468774567,0.7430475917204793,0.6395470662464509,0.5524978051112368,0.5943280723253807,0.7427728653470524
Scene,0.9647002870616979,0.827331376066715,0.5217177113608263,0.9369247537985066,0.40854810835285493,0.5218524207394881,0.6490920805751523,0.17060652884911745,0.5482430753092058,0.8122485125884763,0.8248363739274664,0.9338235914753021,0.933203040954778,0.819483836743502,0.19331853440200109,0.6167595011482561,0.8963988619094367
Gnegative,0.9571152467241069,0.7302422340687628,0.6537032456189666,0.9617505395658693,0.6259857205723439,0.6288716194050844,0.6239690456435651,0.17764367290072217,0.6774325967707832,0.7347733465874827,0.8712257290932632,0.9610383049923585,0.9599664406868383,0.7370783624767266,0.39758123150953717,0.6358458212980389,0.9639017016749267
Plant,0.8031118886842183,0.2871508642239455,0.2752932311631227,0.8916255297395538,0.21054988671449948,0.21801504640226116,0.28912439774537635,0.044536376504257,0.3510463012191919,0.4199867599927164,0.6183588033871161,0.8732920854216668,0.8707338173209852,0.4621546535177222,0.2921736967875629,0.15320418287610268,0.8916255297395538
Human,0.9257546160783954,0.6154445786704341,0.30232827746932445,0.9368583712475045,0.3787979669984918,0.5030593299899765,0.4277226016621708,0.08486786263098094,0.23615604272882063,0.709971052825453,0.5088944978587001,0.9336538667341843,0.9374998616474381,0.7131634573476705,0.3295773266993157,0.2544265746285256,0.9017692537291688
