Dataset,MLHAT,KNN,NB,AMR,HT,HAT,EFDT,SGT,MT,ARF,AMF,ABALR,ABOLR,MLBELS,MLHT,MLHTPS,iSOUPT
Flags,0.5663678480283103,0.6337080025854334,0.6035800956641759,0.5715053423427202,0.7060005260063016,0.6965390573082514,0.7060005260063016,0.995637484375,0.6264771510011992,0.7226774889535781,0.6274863038657834,0.5754873796921964,0.5842875983627704,0.5051700549334376,0.6078331353840792,0.6301465258723391,0.5715053423427202
WaterQuality,0.5632740685256445,0.5339730719420664,0.715580238581708,0.5634718074532294,0.3322516121928626,0.35460091276324324,0.38004276379106244,0.298379083875844,0.26161092624432514,0.4711888608765422,0.4332567397699486,0.5524274098771741,0.5574552653021464,0.46088953023864687,0.20307707124234853,0.30183807606793767,0.5576726647821605
Emotions,0.441461389828643,0.4376160340981683,0.7317283181904717,0.3185118903783254,0.5482101114485014,0.5451379051097939,0.4966631692018267,0.4689270887015602,0.01651888789426905,0.45412147364438993,0.310666690242177,0.2798317519908758,0.29525727949826874,0.6096706002759351,0.36201739498529695,0.49952927655400725,0.3185118903783254
VirusGO,0.7481477674288803,0.7466856375512807,0.08999062388268826,0.5558717255938412,0.18916051138892334,0.43203688639411697,0.18916051138892334,0.9953296484765625,0.43443955938529955,0.3599475006444999,0.8568894777343549,0.5340625881479215,0.5606027638347136,0.5585041861125741,0.3164921752059027,0.15517992886465146,0.5413086187977247
Birds,0.5163499156691482,0.06192341130557416,0.0,0.10996751408579475,0.0,0.0,0.0325043368886694,0.15898446753632042,0.01902193625426514,0.033144909614197096,0.03690894218950043,0.07856005444365818,0.07662480075377813,0.554413961625916,0.0,0.0,0.10918795519196017
Yeast,0.5696448660289234,0.5498167925502802,0.5928843025104952,0.34700349640580136,0.5502134462093675,0.543352031885491,0.5263539567490996,0.3688847248734927,0.33471523660893543,0.4861049120603238,0.3456866313102859,0.3458363544293871,0.34921195411089023,0.617168729012491,0.5107511886153164,0.562014345320885,0.3646536713726394
Scene,0.9520871265846329,0.8056210813997604,0.8708891875024638,0.9063235273314889,0.4587195191347222,0.5723707031007295,0.6608111361801804,0.29986225110434783,0.5365957924996361,0.8093547516542037,0.8129136640430061,0.9026020968982389,0.902395049973388,0.7849543809922777,0.18029277797933818,0.6541870529250512,0.8668315402325004
Gnegative,0.9492456563715282,0.7245177091671693,0.7671724907007436,0.9420797733179804,0.631469220000257,0.6479511700363852,0.6289812190628158,0.38864172547275844,0.693402856225362,0.7298832961497161,0.8723076970352204,0.9406525072825094,0.9392225220649182,0.6995387902122108,0.3890003011262757,0.6265460028014396,0.9442309354270382
Plant,0.8003937813391964,0.2856239373390428,0.455583696742923,0.8622716541745481,0.2122465276435606,0.225989170826483,0.28759660294824196,0.2407496820461802,0.34850143983457194,0.4148976169766483,0.6097046384999651,0.8408840805421995,0.8429071126277023,0.4250152026452477,0.28708378804111573,0.14862332801085845,0.8622716541745481
Human,0.8995320893867733,0.5814519912520603,0.6109974465656886,0.8851618677284065,0.3615005555534706,0.48303414494380237,0.42634057409520787,0.17102888441339623,0.19730404791217152,0.6586219323691616,0.4498020817035846,0.8772577401271504,0.8808367118250084,0.686396964315292,0.27846890220268916,0.23779705335631357,0.8520487276237332
Yelp,0.8806452426061322,0.6461428914886114,0.378533675403904,0.7326567097751402,0.5973347541128151,0.6600475824579226,0.6820271515529961,0.3898595569447152,0.4083760577951493,0.7724861338209299,0.604519499500497,0.7584551281059781,0.7591458110096536,0.834703045488919,0.4381701999163634,0.6059712205286814,0.7428386347837108
