Dataset,kNN,NB,AMR,HT,HAT,EFDT,SGT,MT,OBA,OBOA,ARF,AMF,MLHT,MLHTPS,iSOUPT,MLHAT
Flags,0.3382,0.3116,0.4001,0.2718,0.2888,0.2718,0.5129,0.3522,0.3861,0.3994,0.2858,0.3359,0.3462,0.3389,0.4001,0.3678
Chd,0.317,0.3266,0.2883,0.3062,0.3035,0.3062,0.4026,0.3143,0.2895,0.2874,0.3173,0.3056,0.3535,0.3107,0.288,0.2916
WaterQuality,0.2995,0.4191,0.3208,0.3269,0.3281,0.3207,0.3939,0.3354,0.3187,0.3161,0.2908,0.2923,0.3947,0.3414,0.3246,0.3181
Emotions,0.2897,0.2653,0.4233,0.2454,0.2423,0.2493,0.4374,0.3129,0.411,0.4149,0.2311,0.2731,0.4115,0.2639,0.4233,0.3713
VirusGO,0.1191,0.2576,0.1296,0.1989,0.1496,0.1997,0.7649,0.1587,0.132,0.1288,0.186,0.0587,0.2408,0.2053,0.132,0.1385
Birds,0.0658,0.0537,0.1005,0.0534,0.0537,0.0535,0.3311,0.0555,0.0753,0.089,0.0509,0.0589,0.0532,0.0533,0.1011,0.0804
Yeast,0.2267,0.2924,0.2286,0.2175,0.218,0.2181,0.2789,0.2318,0.229,0.2287,0.2162,0.2301,0.2696,0.2405,0.2248,0.2195
Scene,0.0671,0.2215,0.03,0.158,0.1363,0.0901,0.2869,0.0983,0.0309,0.0312,0.0609,0.05,0.2794,0.151,0.0396,0.0194
Gnegative,0.0674,0.1098,0.0132,0.0835,0.0835,0.0783,0.4273,0.0622,0.0135,0.0139,0.0566,0.0294,0.1551,0.0889,0.0129,0.01
Plant,0.1035,0.1768,0.0205,0.0901,0.09,0.0874,0.2992,0.0697,0.0231,0.0239,0.0742,0.0496,0.1236,0.0896,0.0205,0.0238
Cal500,0.1581,0.2683,0.199,0.1385,0.1401,0.1385,0.4187,0.14,0.1923,0.1961,0.1412,0.1427,0.2134,0.1386,0.199,0.1695
Human,0.0617,0.2345,0.0195,0.0816,0.0725,0.0791,0.1693,0.072,0.02,0.0196,0.0421,0.0553,0.1082,0.1183,0.0232,0.0209
Genbase,0.0802,0.0464,0.0463,0.0463,0.0464,0.0463,0.4598,0.0463,0.0462,0.0463,0.0462,0.0463,0.0643,0.0463,0.0463,0.0541
Yelp,0.2079,0.2805,0.1533,0.2462,0.2174,0.1868,0.3189,0.2883,0.133,0.1316,0.1256,0.1924,0.2904,0.2851,0.1403,0.1024
Medical,0.0219,0.0275,0.0235,0.0203,0.0199,0.0173,0.3841,0.0251,0.025,0.0251,0.025,0.0182,0.0377,0.0276,0.0232,0.022
Eukaryote,0.0257,0.2215,0.0104,0.0442,0.0317,0.0343,0.1299,0.0452,0.0097,0.0098,0.0173,0.0296,0.0707,0.0766,0.0117,0.0095
Slashdot,0.0756,0.0534,0.0531,0.0527,0.0531,0.0514,0.231,0.0537,0.0531,0.0532,0.05,0.047,0.0846,0.0533,0.0516,0.0511
Enron,0.0591,0.0678,0.0492,0.0556,0.056,0.0585,0.2421,0.0602,0.0482,0.0481,0.0531,0.0519,0.0689,0.0605,0.0488,0.0478
Hypercube,0.0002,0.0065,0.0025,0.016,0.0066,0.0128,0.5093,0.0001,0.0014,0.0013,0.0004,0.0001,0.0419,0.0378,0.0121,0.0031
Hypersphere,0.0771,0.2888,0.075,0.1058,0.0583,0.0785,0.2857,0.1606,0.0713,0.0709,0.0657,0.147,0.1882,0.1754,0.1333,0.0593
Langlog,0.0175,0.0157,0.0155,0.0157,0.0157,0.0161,0.4343,0.0164,0.0155,0.0156,0.016,0.0164,0.016,0.0166,0.0155,0.0161
Stackex,0.0105,0.0106,0.0102,0.0106,0.0106,0.011,0.2662,0.0114,0.01,0.0101,0.0106,0.0113,0.0128,0.0106,0.0101,0.01
Tmc,0.0836,0.0914,0.0664,0.0799,0.0814,0.0908,0.0935,0.0865,0.0637,0.0645,0.076,0.0796,0.1167,0.0843,0.0658,0.0612
Ohsumed,0.0775,0.0857,0.0658,0.0649,0.0649,0.0729,0.0807,0.0716,0.0638,0.0643,0.0678,0.0719,0.0994,0.0759,0.0649,0.0603
D20ng,0.0532,0.0512,0.0477,0.0442,0.0457,0.0487,0.0594,0.0492,0.0417,0.0428,0.0469,0.0482,0.0925,0.0642,0.0441,0.0338
Mediamill,0.031,0.2975,0.0308,0.0331,0.0334,0.0374,0.082,0.0342,0.0306,0.0307,0.0287,0.0311,0.0419,0.0384,0.0322,0.0272
Corel5k,0.0109,0.0093,0.0094,0.0103,0.0108,0.0126,0.3052,0.0092,0.0094,0.0094,0.0085,0.0088,0.0181,0.0094,0.0094,0.0091
Corel16k,0.0226,0.0186,0.0185,0.0206,0.0204,0.0245,0.0921,0.0182,0.0185,0.0185,0.0166,0.0176,0.0364,0.0207,0.0185,0.0177
Bibtex,0.0152,0.015,0.0135,0.0154,0.0159,0.02,0.0461,0.0146,0.0136,0.0136,0.0138,0.0141,0.0204,0.0176,0.0135,0.0131
Nuswidec,0.0216,0.0346,0.0226,0.0222,0.0224,0.0299,0.032,0.023,0.0224,0.0224,0.0215,0.021,0.0231,0.024,0.0221,0.0195
YahooSociety,0.0615,0.0619,0.0648,0.0603,0.063,0.0653,0.0701,0.0618,0.0533,0.0566,0.0579,0.0549,0.0619,0.0616,0.0596,0.053
Eurlex,0.011,0.0142,0.013,0.01,0.0104,0.0152,0.0882,0.0104,0.0087,0.0095,0.0087,0.00912,0.015,0.0109,0.0112,0.0089
