Dataset,MLHAT2,KNN,NB,AMR,HT,HAT,EFDT,SGT,MT,ARF,AMF,ABA,ABO,MLHT,MLHTPS,iSOUPT
Flags,0.5231279117979578,0.5459734540832438,0.414337829016658,0.47938594402814516,0.52188565512426,0.5107385874810987,0.52188565512426,0.6191227661829068,0.4138261223378845,0.5463300075634621,0.47209043081535906,0.4836087529961214,0.4779393787605608,0.40708351432125217,0.3877671691502156,0.47938594402814516
WaterQuality,0.5043183039278378,0.5111634522261217,0.5259168952661757,0.5175696037719772,0.2500917426657755,0.2680221169212458,0.3020048249043886,0.29554666222489745,0.18043411285691852,0.44332588302344844,0.38942028664769157,0.5114727286653485,0.513899128933353,0.17141898603392908,0.2026825173283816,0.5132304664280802
Emotions,0.3977089508100079,0.4580007553538935,0.6242636936744838,0.30603745261150395,0.46305700499387736,0.4699859686872564,0.477809850281534,0.34541867551871935,0.02529594609428791,0.5063276497325881,0.34617177507310115,0.2875663782829597,0.2958816109081237,0.31576476627882943,0.5263272474616556,0.30603745261150395
VirusGO,0.5250163946064319,0.6219840275059176,0.14469110524734796,0.47977091969668867,0.28406344702406344,0.42589573312399753,0.28406344702406344,0.31710094978910985,0.45643271254169976,0.3065007181794006,0.7966069524887847,0.42272887980217405,0.4431329752488691,0.2100649059102462,0.20845823453613635,0.42603546996123887
Birds,0.0779955497413468,0.10290326410894637,0.0,0.11221185254023447,0.0,0.0,0.07124493408104532,0.07582793033449592,0.03916477435055405,0.04910735525751267,0.05733093992847088,0.09822478112813385,0.08992903908826909,0.0,0.0,0.11216294445114416
Yeast,0.35623706868943233,0.35916518384856466,0.44179706354766174,0.1389789661356153,0.2879328749418843,0.3056089120871105,0.278115836773568,0.21607770088427242,0.13276066309282097,0.2701638467091486,0.14069779477958297,0.13735868661706382,0.1414314635090052,0.22010237413613035,0.40367999762231765,0.16278968216766526
Scene,0.939897618869339,0.8069185469163145,0.6068899224725977,0.9103778559580935,0.4451920598691306,0.5763341486263274,0.7045006853210012,0.19656617714417635,0.5828431172644051,0.8180868832538069,0.8484425500459065,0.9074060783820759,0.906863053855533,0.08043449565172375,0.5826686403466591,0.880452466824691
Gnegative,0.728740555251921,0.45401548871180825,0.35020327263208034,0.6753133672097953,0.2699773660271375,0.2739816843230153,0.3086222588564105,0.10684678272514639,0.5156640530168619,0.45342753477036707,0.6100040325566028,0.6786586343587084,0.6746586343326617,0.07101908827193565,0.32526685164225955,0.6850273502606428
Plant,0.7672070510386948,0.17738349921395025,0.1702401406289532,0.7654599220816063,0.12757041125987184,0.13584746915827545,0.14991327453568987,0.09117823185745563,0.23083218140464187,0.2441960410860723,0.5098923004143698,0.7239466662765857,0.7372923683875223,0.07548244408719454,0.0822730158930998,0.7654599220816063
Human,0.7448810305576306,0.3223433261242564,0.20312587238967683,0.7264824797863147,0.2172884251305463,0.27796946976310466,0.24872429396278295,0.07138280779557228,0.195342025589819,0.36758009840527284,0.387742848431733,0.6972576527501064,0.7191347366683669,0.09637087470612032,0.11863149653298938,0.6456027716610665
Yelp,0.8390583388984735,0.621201368389735,0.38899424023770646,0.6947294568633747,0.5528410462310428,0.6362552977154032,0.6696081393281195,0.3416610978659915,0.30006890525966345,0.8176775533315708,0.567249918030737,0.7474096416678935,0.7500386809144499,0.45851082332499227,0.5218797232942511,0.7309421866387309
Medical,0.2513177688544365,0.10669126491476275,0.00032861813960038163,0.03184055267675948,0.11109310099429939,0.10891124019896081,0.20296486060614982,0.09537454079531674,0.11606387289395335,0.030948594993544798,0.22235767512925414,0.016463829299555477,0.015359256777800818,0.009436247121355507,0.0003238064713090223,0.028389456195964582
Eukaryote,0.7934230929402517,0.3452591350153168,0.14020585780856565,0.7119196864463908,0.25705639477948167,0.34861540297759064,0.33680686145933514,0.04347083649793637,0.3054547109643054,0.4277757993229061,0.42431301232350627,0.7118248773550921,0.7154287263341799,0.06885556337551586,0.09028372224868444,0.6337877064384992
Slashdot,0.33388010302416743,0.02108680113083472,0.0,0.010441826799163076,0.0774259812594878,0.10727303865734465,0.15070233801298644,0.09872645907187011,0.010407446616110375,0.0576053888962364,0.08977478949910811,0.004893826871569156,0.003735058045496417,0.020122936642792348,0.00412407913983125,0.023969129469084124
Enron,0.16626866464252982,0.16014268749189894,0.08391414998940747,0.09371088093232835,0.052341994278324866,0.05262247250113401,0.08965509166784619,0.05790036823640045,0.05864840124281545,0.07782480976761648,0.08552378125706533,0.08765061948544216,0.09559669583449146,0.03316804861765685,0.028444635593511167,0.08563847047800807
Hypercube,0.9927396565058091,0.9939595552248595,0.9715042868804711,0.9828796352501877,0.926913676438869,0.9634289308896484,0.9354349587409192,0.05501312065504501,0.9946351404558533,0.9931844765718615,0.9947284740105369,0.9885043776461873,0.9888208978407957,0.7799052867857439,0.8095788914596944,0.9379526614378149
Langlog,0.037373780411399916,0.011432273827703059,0.0,0.012009163420165413,0.0,0.0,0.015863138559357982,0.027365363552733137,0.002637866109672913,0.0006900295564940357,0.003155365666930794,0.00594113662277138,0.007327449774813135,0.001226062078732436,0.005950460115150541,0.009236746657784846
Stackex,0.09458594843659822,0.015054283139709879,6.146913479142744e-05,0.010809865073806862,0.001808740333304075,0.0044970066118251075,0.024967383463531626,0.02327870823940356,0.009105913474575818,0.004905478713584879,0.01612007133162726,0.008730987768201576,0.008770249836317846,0.001962560729608195,0.0,0.007085974338782583
Tmc,0.5239344517086422,0.1841891719355486,0.03223208551997902,0.3623461490943538,0.32645724154886396,0.3483794875572723,0.2977031411190031,0.14544363357674644,0.1511006440133989,0.20237215642912215,0.1976459458646202,0.380680723548546,0.3703982121511973,0.022990211097291074,0.1660382624113556,0.2721594701987131
Ohsumed,0.33690777238629643,0.02440741555077936,0.10893297920250726,0.0790654711304431,0.26899341780687047,0.2829813928270908,0.25822115530851175,0.1115334691987954,0.01652627703539617,0.06689959390413214,0.006729637789088062,0.12803908408908615,0.12596865452516048,0.013468002072454912,0.16354930406685075,0.09337361186129955
D20ng,0.5880683341689477,0.1356248554137124,0.0004943439964884147,0.132026540455423,0.43477403610895,0.4122077596541196,0.4644867811316229,0.171916837356057,0.09720445380637455,0.16424029181349373,0.09826771433165124,0.3220114645425747,0.2913317558552634,0.052118301566655416,0.28518531996152735,0.2569872883010518
Mediamill,0.43469112610278415,0.23830667653395965,0.08930157754196441,0.06538878284806413,0.08394659695482118,0.09837557267039948,0.15032972928384458,0.0251143339368221,0.06665083649092673,0.11433228902619956,0.09587663962691687,0.07143668749052974,0.07108775778494059,0.02229342588651632,0.031311261456194936,0.04791138900176278
Corel5k,0.09838545683069308,0.029388447446076858,0.0028722802282562555,0.004304377212752565,0.02196608931172122,0.040544945876609395,0.036827272685858656,0.018826948071248028,0.06316291779298575,0.08743959380310193,0.0880384536889719,0.002656591329405923,0.003345645682119778,0.0056785797049871065,0.002299112728320694,0.002869578168463105
Bibtex,0.22064235537729923,0.00824325618584074,0.0,0.04527450956788475,0.0924649720891334,0.0970594283888068,0.1048833360142922,0.04909814952511843,0.029144919076510366,0.020766241897222266,0.02709392146028912,0.0315586144661667,0.03240099070576488,0.0010723825673752186,0.00980101379575745,0.03478760238651629
Nuswidec,0.20924072390943887,0.2462908133548644,0.15102779242306952,0.01574817109252242,0.047693455000971614,0.0835826869613075,0.09816064781542373,,0.007330580132959957,0.15033674315829917,,0.008451930258982865,0.008431725634706008,0.002112641442695958,0.052742282662667395,0.009603201352599854
Imdb,0.1136251476887878,0.056310020394851154,0.12154629302738863,0.005603540470096235,0.026090384685097404,0.030661110750674028,0.049398848318332175,0.006762582738946164,0.00042367775178518837,0.009549210665110164,,0.014781166192288031,0.014961150225456727,0.029188690139647304,0.009732849872211695,0.008873144427957393
Nuswideb,0.24984847511138647,0.21138797922616692,0.071791624053405,0.014589556143372078,0.03846297607757437,0.08077592390046447,0.10601748235647489,,,0.1620689121150623,,0.01207590573331174,0.011804214222733651,0.003739477662975693,0.018089565062889862,0.009371946183885486
YahooSociety,0.25134034653245474,0.036950569597619,0.023683815953568468,0.20212603372426388,0.11942507802657287,0.11464886055595336,0.10508447829519728,,0.02098887998619576,0.029093343094773592,,0.2337263666137088,0.22600759684743835,0.024421341020859126,0.003220348858677071,0.20556084842092112
Eurlex,0.233525276173226,0.05372525551545454,0.003250556779077051,0.2523735686042182,0.09487869596472383,0.1116622234633862,0.0785422667730678,0.031235588487945776,0.03371782996723549,0.08100503143290338,,0.3282369345063503,0.31747308058584045,0.0034685348123593834,0.0024365267948297633,0.3010178071134453
