Dataset,MLHAT,KNN,NB,AMR,HT,HAT,EFDT,SGT,MT,ARF,AMF,ABALR,ABOLR,MLBELS,MLHT,MLHTPS,iSOUPT
Flags,0.49121598590497706,0.5386542316186269,0.41898821930514696,0.4719253318073088,0.5371202001029443,0.5336755963706845,0.5371202001029443,0.995637484375,0.43826553740217117,0.5595047480093082,0.47930197892792725,0.4724477328519957,0.47785283911483556,0.4108017347622913,0.43541984317595017,0.4382731334763086,0.4719253318073088
WaterQuality,0.5110883041599332,0.48549269977879306,0.6919203114515468,0.5178173767105788,0.24982766378942944,0.27446506215255845,0.29122566395323224,0.25737294313249626,0.17917384811536646,0.3978421768963928,0.3440229729175061,0.5048900357450471,0.5073933612508286,0.4166848561105578,0.1881739918098509,0.2069663945810779,0.5137659894739257
Emotions,0.4241844796220064,0.41780347410529506,0.7258105036871576,0.3078907357036829,0.5082028055235592,0.5055765611077842,0.4686989853659038,0.40619466582063524,0.01366135409176824,0.43397384500075475,0.280675927076243,0.2730275813195615,0.28788162994351885,0.6101874678627364,0.3256260444643032,0.48842931293358705,0.3078907357036829
VirusGO,0.6804996678975886,0.678599424282408,0.18515687380329243,0.42081548234417626,0.2488030330761971,0.3724614043027129,0.2488030330761971,0.9953296484765625,0.3823636294524812,0.2961622819157851,0.7797292868343613,0.38430070428839214,0.4021098206019327,0.31545266081167317,0.2752251123039876,0.20316811244127647,0.3894662759949699
Birds,0.08675866730069809,0.0773307054946953,0.0,0.1291376891992707,0.0,0.0,0.04419721811551717,0.26939763790452836,0.02392160789833578,0.02987888163369461,0.039868779696445276,0.08512627807877898,0.08777051863846083,0.10435674121395237,0.0,0.0,0.12976246777863112
Yeast,0.35466296860920266,0.337508405749821,0.49772847253518754,0.151250872082687,0.3008898941984294,0.3021950815279166,0.2812838667311665,0.20523060818259176,0.1491635774776189,0.25361844322677496,0.15190976485129376,0.15039973288328437,0.15264975437624023,0.38179279200047106,0.2831346213836696,0.38883360899108443,0.16527007898464802
Scene,0.9315780454144903,0.7876086046780619,0.8587927100535672,0.8813186027188207,0.4766777707929697,0.576570705259954,0.6505291519102007,0.32119189316395647,0.5566508555531824,0.7908768301102749,0.8038166864190734,0.8778331907897281,0.8773360703705766,0.7669764802300159,0.1766062807554592,0.64906091892377,0.841731477055272
Gnegative,0.7036448147062278,0.41038827768811215,0.42880874450834344,0.6537950844756057,0.2667972507909128,0.2722358977821707,0.2880595196604305,0.3261743753096137,0.479733420349837,0.4159758101290041,0.5831899231642457,0.6587483038363364,0.6540857656824062,0.38525857824046594,0.12437810945678326,0.30681242056689395,0.6654845376006058
Plant,0.6866555279277556,0.16843892515439604,0.2728435639121276,0.7050084377557199,0.11739841516859448,0.12361128939197769,0.1463371083815146,0.22628770599848153,0.2233690301319106,0.22141059377243644,0.4502112418601847,0.6641138364050061,0.6856089479371646,0.20735886093067346,0.12368193018094452,0.08395985106057245,0.7050084377557199
Human,0.7338090685656018,0.3053080213768492,0.4499631312343745,0.6660885271765569,0.19394565564569405,0.2641103878877076,0.23008241377321464,0.1269105936819197,0.16582825105519128,0.34446455223298467,0.3409664717049815,0.6393727561200467,0.6574115041774915,0.334932986086167,0.11904762004002352,0.16982690543607612,0.5885344246539599
