Dataset,MLHAT,KNN,NB,AMR,HT,HAT,EFDT,SGT,MT,ARF,AMF,ABALR,ABOLR,MLBELS,MLHT,MLHTPS,iSOUPT
Flags,0.5856783203557192,0.6422986874431912,0.6420589705296293,0.5750844419720647,0.7098684347958159,0.6950839195426097,0.7098684347958159,0.6501847774468128,0.6215137975389784,0.7030865041278881,0.6410660820307752,0.5868853943439559,0.5812101058719257,0.5330192339739349,0.6165654375040053,0.6304315075756664,0.5750844419720647
WaterQuality,0.5512384615840028,0.5605322881569421,0.5492283727636293,0.5521697191151075,0.42025518756808994,0.4361532196643081,0.45878353450062304,0.3517257735646089,0.3567585428333626,0.5333530725627553,0.5087088384642595,0.5492410477599424,0.5528928670895621,0.46517297477896624,0.2575621043394024,0.3824622866304168,0.5471747628985324
Emotions,0.4445601219388351,0.4842296412267847,0.6285383359546899,0.31871336394851807,0.5731280265275158,0.5753838248736154,0.5455052066483248,0.38926341319137153,0.03271877173637919,0.5467337075612854,0.413082485080446,0.29959674124083885,0.3093104406730126,0.5575050660658954,0.34167447737508855,0.5374219471843129,0.31871336394851807
VirusGO,0.6939540061249396,0.7077905322902889,0.12015012370563191,0.6131067776435093,0.26577216710776314,0.5329516532235852,0.26498204191681624,0.34412288258923673,0.5156544002071124,0.4248163820314621,0.8486280910645052,0.6012254167344528,0.6181042154379777,0.5838878234088745,0.3441451297477848,0.2283256237161735,0.6031242184366066
Birds,0.13275193080976594,0.16426961072305016,0.0,0.17624492671333772,0.0,0.0,0.12211057262274672,0.08075941461975814,0.06539943618259375,0.1152569596172748,0.10778893041423199,0.17387076884274855,0.1537979723896787,0.15577318959643294,0.0,0.0,0.17528228160342008
Yeast,0.5975535735204076,0.5904885077151074,0.545440644226904,0.487591189624092,0.5992315986015575,0.5967679102398287,0.5885272506875576,0.4518855647004564,0.47659349862223604,0.5738464525276956,0.485263243924879,0.4864420174961277,0.4887895251025571,0.6127379966772823,0.5360053721344096,0.5828272078395218,0.5025754911913711
Scene,0.9363844730757391,0.802662676376995,0.5788950784141347,0.9078822944153992,0.5015604633752722,0.5913946091247715,0.715054347544849,0.2689771820493223,0.6510838370886041,0.8174366859757128,0.844951453056525,0.9051941643268793,0.9044299515694129,0.7834236631761347,0.18694637975737793,0.6036072369004603,0.8788536206067048
Gnegative,0.9368214823724151,0.7295172427524095,0.6389058970229136,0.9432375505262814,0.6564335474530545,0.6627560528343113,0.6696593908660673,0.19023466629468577,0.737190305094604,0.7633040488050936,0.8791091421262468,0.9421715970001527,0.9407719124628333,0.6992206542831002,0.38864083142738376,0.6396822431693013,0.9446758844562813
Plant,0.770412015867728,0.3185021851022536,0.30889145720348554,0.8748654232594316,0.291400479892262,0.30467190516432807,0.3638495663339606,0.12655067244612178,0.4592103425431819,0.4893298690554875,0.6780770064082414,0.8590143619202637,0.8555593066640861,0.4129378325663672,0.28194207331368437,0.22120726301178098,0.8748654232594316
Human,0.862426021350857,0.5961919530636107,0.2962914615545237,0.8729370943804728,0.4160872323645419,0.5151830557845549,0.4659046104275776,0.16499033848513475,0.31970974881915787,0.7091771999080259,0.5700152257500589,0.8695338976768948,0.8716923745699166,0.6628872034975604,0.30245285756117335,0.256251226471794,0.8491758527861926
