Dataset,MLHAT,KNN,NB,AMR,HT,HAT,EFDT,SGT,MT,ARF,AMF,ABALR,ABOLR,MLBELS,MLHT,MLHTPS,iSOUPT
Flags,0.602185428595613,0.6508461891206216,0.7134463074805341,0.586393581544324,0.7239092657546073,0.7015334351369068,0.7239092657546073,0.4827028701317123,0.6407330399725177,0.6977927828098893,0.6564293526107821,0.6028626722843085,0.5847979617111366,0.5901212321695599,0.6570261445239689,0.6599580193855199,0.586393581544324
WaterQuality,0.5544108509902899,0.5902784254693811,0.44660324748507074,0.551963662848008,0.5781701633670272,0.5689140092112838,0.5814185137121135,0.43023238655136065,0.5734354999981737,0.6271772702399324,0.6397469952345022,0.5564858535536465,0.5600793086900233,0.4699850497709124,0.39809573764402906,0.545784203165876,0.5466143531754799
Emotions,0.44929767892902267,0.5370028745242439,0.5515227481921923,0.31714313860794496,0.6167158647752238,0.6244032150403027,0.6219107534772825,0.3421788102956128,0.38590010666912816,0.6903763432555811,0.6137951545222633,0.3166471699002244,0.31865061507696985,0.5082745451012953,0.33786342853916046,0.5842032948256923,0.31714313860794496
VirusGO,0.6648531115815932,0.6942107829905548,0.19368567829705435,0.7645099748753272,0.5209640215691796,0.7152191516301117,0.5149495869260361,0.20802179482705663,0.6676939054395709,0.563169002536851,0.8607977331122535,0.76349541852998,0.7626706753996464,0.6355974779921352,0.38171188991647387,0.47276189613289366,0.7602891956545481
Birds,0.14606118435527116,0.2526660429448685,0.0,0.156099465355726,0.0,0.0,0.47692065517604054,0.0473696847526674,0.31426426872013985,0.7555305764146902,0.27711562082167523,0.20845067190498906,0.15549800499698896,0.13343065230469575,0.0,0.0,0.1546198117571397
Yeast,0.6356678767989565,0.6419709414598977,0.5101192903594929,0.7426446958450341,0.6667622220261324,0.667567912115935,0.6750441168581376,0.5502702593704747,0.7374684681709869,0.6990513968435166,0.7363368570784201,0.7417915664349469,0.7405035081404503,0.6184694860521183,0.5528985309638191,0.60546268602904,0.7454135413395091
Scene,0.9473284752482853,0.8235857875098782,0.4360382191510862,0.9435124165184173,0.5684891165127972,0.6287995523381571,0.805380207115814,0.24580650497930856,0.8705660193287452,0.8552948394981188,0.9131515260292629,0.9417399841239187,0.9405362000618465,0.8074009745698647,0.19369731029313061,0.56296239173779,0.9259382483667098
Gnegative,0.9436811523937625,0.7527282739376255,0.5545072234741277,0.9656499176180802,0.6990225927529143,0.691219083953068,0.7335318698333516,0.12619282859304798,0.8053639840671177,0.8210234155388741,0.9063827085592877,0.9649130110981305,0.9634791380624572,0.7160871460228893,0.3975812315095385,0.6700103902679176,0.9664092997269088
Plant,0.7696830566926051,0.3858788628096934,0.23705589949305506,0.9217841528834873,0.4875397450653082,0.4901802902097423,0.5175140225583383,0.08558278012607076,0.7419965377661267,0.631007154406348,0.7962645114481546,0.9121829630431375,0.9009482337616044,0.4187753496313361,0.29259302671553344,0.492618793593922,0.9217841528834873
Human,0.8842193317426266,0.6580182533239713,0.19810387197388196,0.9258797061939814,0.5206923646340832,0.5857286889878924,0.5370711437662015,0.1410226154293352,0.7737928160419705,0.8343690677451898,0.8164952048353251,0.9292008637319282,0.9302853162541073,0.6844763562414201,0.3300610883323728,0.27187735924888956,0.9089441384927862
Yelp,0.8310696908305351,0.7080282192596847,0.5997291403065423,0.775016665092765,0.6225879252356297,0.6636491129660992,0.7229688052374008,0.5109615627462434,0.5785991961986581,0.8258568902006571,0.7514063488004747,0.8163172353622141,0.8211637727205001,0.6360616171220571,0.5624332739577047,0.552559080705811,0.8027139954379183
Medical,0.6103040249621532,0.6660893824020007,0.497512442124572,0.7888459524736762,0.7351013629640257,0.74374707358839,0.7490728369679607,0.04638036213203128,0.6508904845423062,0.7818709326358829,0.796377935018281,0.7919155135407698,0.8006108887326335,0.7320838847643323,0.2699075597525729,0.248756221062286,0.8192649578610425
Eukaryote,0.9073768445951755,0.7879633218926563,0.14542167928578886,0.9342846946087369,0.5809261730922783,0.6973819761712385,0.687065640078423,0.05801798754284973,0.5877380750083727,0.9093828301988744,0.8136285733736177,0.9430569442873302,0.9411597076516236,0.8026785826693955,0.28934036978738775,0.24792550720991752,0.9278801146421003
Slashdot,0.5812057568125963,0.19289598562012522,0.0,0.6163856089403548,0.5618562310795311,0.5118758995184896,0.5649757453663358,0.04074203904056481,0.3439562585333529,0.8511048348244855,0.8078784506984145,0.8015467188512542,0.7296800627276252,0.4517823601576504,0.1549685815665226,0.674078925822463,0.8788511845863505
Enron,0.49207595407083327,0.5658344992786977,0.45965059447649914,0.697207609717023,0.6097065784872949,0.6011692368377575,0.5559410172111862,0.08338126616174946,0.5678310195530101,0.6517810715684929,0.6789296968976295,0.7107410849478264,0.7127333727540202,0.5990051170595512,0.41947207948148957,0.5686082889080747,0.7065430073076928
Hypercube,0.9923825089471827,0.9940198929388633,0.9429748749568688,0.9817535393124774,0.9013266644324345,0.9530985938171365,0.9325577282227052,0.017127321601783943,0.9946566915576904,0.9933922715489015,0.9947562222579514,0.9887995112018795,0.9893266805699845,0.987449289294676,0.7855595636830084,0.806227932448609,0.9536901770179236
Langlog,0.17115150992961678,0.2139973674726135,0.0,0.5669298062355788,0.0,0.0,0.39798816557434935,0.007701719207244061,0.09476384965153092,0.07461865077768762,0.10524287171072896,0.6562877288398674,0.6007614132679648,0.13660755356790205,0.04326195111389411,0.2408411213299585,0.5927747964512325
Stackex,0.2600862828510607,0.5051688432702618,0.37397529501488097,0.7239259701803394,0.46602878537151937,0.46623776336205397,0.4174119145694247,0.009319595334395045,0.11901104096650832,0.5113975910470023,0.2257770873216587,0.7861087023659363,0.7588580052998766,0.36946957453980556,0.2461041148599028,0.0,0.7400193359025466
