Dataset,MLHAT,KNN,NB,AMR,HT,HAT,EFDT,SGT,MT,ARF,AMF,ABALR,ABOLR,MLBELS,MLHT,MLHTPS,iSOUPT
Flags,0.5700516512959722,0.6339727138655384,0.5836477691548264,0.5641955924643676,0.6963602649597478,0.6887501472743056,0.6963602649597478,0.995637484375,0.6034049182601225,0.7084606503173712,0.6264051568973342,0.571727719589836,0.5776653006906791,0.48554415735035766,0.5807986546191092,0.6034308252799722,0.5641955924643676
WaterQuality,0.5481021412998133,0.5336402098447958,0.713089257636861,0.5523759288885632,0.3300960654374371,0.35363014011918614,0.3788706868862909,0.29744587959688634,0.25892243598177156,0.46394755515273134,0.4222250105957502,0.5421824527554766,0.5458885071876828,0.4604582262096698,0.19036156578373747,0.29437295384196027,0.5477363222001486
Emotions,0.43992114002726734,0.4409002797490502,0.7305534953631665,0.32029921422278834,0.5352945792415105,0.5335005743443473,0.485818951474575,0.451310713048527,0.01708323185972275,0.45256978499436723,0.3112888662163886,0.28428866766874517,0.30050220350165,0.6172868570624075,0.3455669475745561,0.4975766288098512,0.32029921422278834
VirusGO,0.7257170758957157,0.7219062720580183,0.08706781895864121,0.5117553133959744,0.17837020663848613,0.4247057959245286,0.17837020663848613,0.9953296484765625,0.4199709294485706,0.34103337212965135,0.836797196406479,0.49583815569783163,0.51960745254223,0.5397301818974329,0.3133094232386151,0.1504817604233467,0.4998031221609146
Birds,0.12166317946016131,0.1216942522038639,0.0,0.20235915365740065,0.0,0.0,0.07001891359942268,0.27357128558770855,0.03649682190171778,0.06238698677045956,0.06690486200717433,0.1491304012159919,0.152133727624776,0.1871005337141351,0.0,0.0,0.2023165181180951
Yeast,0.5637513151604829,0.5466502529233299,0.5860172643723573,0.362942430416169,0.5441221326968986,0.5395454663886712,0.5216678167543289,0.38334564344699956,0.3520558793699615,0.4866788924024389,0.361873022263983,0.36187313920448316,0.3647893337948922,0.6071117612348582,0.5201139080849897,0.5618231843743193,0.37908016249908977
Scene,0.9256904438794816,0.7827763222146735,0.8609696643087809,0.8748452634793147,0.4487304779464789,0.5581899189718771,0.6429459073925001,0.2969696500836432,0.5199860716622737,0.7827878910186066,0.7862306114329344,0.8713788234687008,0.870993376922585,0.7608293812707931,0.1806501796543719,0.6505777486786098,0.8363258404721399
Gnegative,0.9300608174427079,0.7076947438567941,0.7536034180758022,0.921841931155193,0.6187354052063436,0.636543844484398,0.6160189922458053,0.38624508186573236,0.679656762806653,0.7131661845645747,0.8534288929864835,0.9204774442868895,0.9191103574438861,0.6831303690436236,0.3800936717506783,0.6119807908105399,0.9238984789696698
Plant,0.7711423320907527,0.2711563950223854,0.4431818928777531,0.8324916633258936,0.20779621690667138,0.22101966739880718,0.2805449017522207,0.2427437641424402,0.33248924964452636,0.3996055951065399,0.5904336900661423,0.8117024699389221,0.8145243049099615,0.4072606175967812,0.27203927836749375,0.1426236389911526,0.8324916633258936
Human,0.8416811455447429,0.5449859573491915,0.5874558225231069,0.8257216002068531,0.3464805117488218,0.4598038606627123,0.4113916086133403,0.1987727585823133,0.20147714984545856,0.6166523404299776,0.4378410469200632,0.8170673672940043,0.8200429073661633,0.6426182963795968,0.27910673257027907,0.24232365181493176,0.7967828061465596
