Dataset,MLHAT2,KNN,NB,AMR,HT,HAT,EFDT,SGT,MT,ARF,AMF,ABA,ABO,MLHT,MLHTPS,iSOUPT
Flags,0.05164985522791578,0.07231649578076106,0.07751047080091808,0.02061210789683117,0.11360376787869589,0.09291187158605464,0.11360376787869589,0.010303946252327176,0.031016771722050328,0.12384911386663432,0.07228300347236606,0.025764113392287173,0.030974802197349313,0.12904715649516593,0.02587739409649227,0.02061210789683117
WaterQuality,0.02066892572813639,0.019728860193711194,0.002818047307886232,0.020672199075477515,0.0018785587098919894,0.0018785587098919894,0.0056371746686023315,0.007515838694463935,0.003758497198888127,0.020667563189525236,0.020669090103485915,0.019729447634884226,0.020673576613874513,0.008457568345866296,0.0037588819632774703,0.020670836849725656
Emotions,0.13776932096125977,0.1512698328222325,0.17817079758191387,0.058826584671740526,0.19494068375551904,0.19327236295213618,0.18151992010983636,0.04205686281190852,0.001678895221608335,0.18992333067738365,0.10253278638691776,0.0621829282432188,0.0638632211096972,0.12435676933194056,0.2218912180482457,0.058826584671740526
VirusGO,0.493119467439237,0.5510813802396397,0.07713482047087564,0.4447556844673856,0.15937917625067485,0.391781707805392,0.15937917625067485,0.03398058252427184,0.31381390012362176,0.2947117849876846,0.7297544830202749,0.4253591188687369,0.4349780266388957,0.25610034672094106,0.1302529626584418,0.430192577671269
Birds,0.4418908699951466,0.4527047227601738,0.44809240903766323,0.2936154197332589,0.4496359091971429,0.4496359091971429,0.45425776743607693,0.30454339718154155,0.4511858684375937,0.4650882914589421,0.4372992671980965,0.39712267618525304,0.3492413302554254,0.45272290951610256,0.45117940935662293,0.29981559808061864
Yeast,0.11079191200600766,0.14497807787455694,0.08813637133619802,0.014829005063825403,0.07206999389439282,0.0906051070762127,0.05724284578965069,0.01029930284665721,0.014417216998903824,0.07084250344800946,0.01482900472838632,0.015240792793307902,0.015240794072993755,0.08895838847120313,0.18533379563570168,0.03501201546853904
Scene,0.8854410019732026,0.7622009079203449,0.27788332859112885,0.8693128936096073,0.2993801522550013,0.4131642850514796,0.573621259290931,0.11950382657286024,0.4999312700424768,0.7361589747993118,0.7535037292291663,0.8668319993964467,0.8664182074118173,0.16581974340832253,0.5222664538511711,0.8333358777671811
Gnegative,0.9206280826350799,0.6951917435480738,0.5413518318987174,0.914897607880965,0.5778314343330432,0.575701487962037,0.5792573969456236,0.13014537185611463,0.6200955371615651,0.6923334025527765,0.8139939988633296,0.9149004047694129,0.9141866613759698,0.3804193707430137,0.605087805266076,0.9170487699900218
Plant,0.7740777946825272,0.26882741503280394,0.15169039574547488,0.8229070847596942,0.179162491017809,0.1801805089242679,0.2555286083478159,0.01323385802664312,0.32678446963469504,0.37977284780460363,0.5518475323418702,0.8045732018834633,0.8015061704413614,0.2789399766819973,0.1425155218392794,0.8229070847596942
Human,0.7607846956607529,0.5072989594176265,0.12144560314883027,0.7787254384203692,0.26087309332934183,0.3567003284074597,0.28394973370307786,0.017303156464200206,0.155407979274888,0.5733072305965239,0.371056697525712,0.7764822207376905,0.7790464995357751,0.22848197859198066,0.14259083962495,0.7489233968528468
Yelp,0.6066918992154473,0.4296961117885359,0.1899042557194233,0.4794233705794084,0.27259587752738224,0.3402820911919938,0.4022555425752026,0.1925748790226256,0.20738258040334073,0.552084266820388,0.3702963455765826,0.542691303961481,0.5530991231700346,0.2453402120082076,0.1719461289255066,0.5147858359188358
